"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-02","    0","    0",,,,"0.00",,"0.0","0.0",,"68","25",,"  190",,,,,"14.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-03","   70","   90",,,,"0.00",,"0.0","0.0",,"69","34",,"   20",,,,,"29.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-04","   70","   80",,,,"0.00",,"0.0","0.0",,"49","30",,"   40",,,,,"23.0",,,,"    1",,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-05","    0","    0",,,,"0.00",,"0.0","0.0",,"73","25",,"  250",,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-06","    0","    0",,,,"0.00",,"0.0","0.0",,"79","38",,"  180",,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-07","   50","   70",,,,"0.00",,"0.0","0.0",,"79","43",,"  180",,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-08","   70","  100",,,,"0.00",,"0.0","0.0",,"81","42",,"  220",,,,,"25.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-09","  100","  100",,,,"0.00",,"0.0","0.0",,"61","47",,"   60",,,,,"17.9",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-10","   30","   20",,,,"0.00",,"0.0","0.0",,"75","42",,"  180",,,,,"16.1",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-11","   50","   90",,,,"0.00",,"0.0","0.0",,"85","49",,"  250",,,,,"23.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-12","    0","    0",,,,"0.00",,"0.0","0.0",,"77","40",,"  290",,,,,"30.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-13","   50","   30",,,,"0.00",,"0.0","0.0",,"67","39",,"   50",,,,,"17.0",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-14","   70","   80",,,,"0.00",,"0.0","0.0",,"73","45",,"  160",,,,,"23.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-15","   70","   70",,,,"0.00",,"0.0","0.0",,"76","52",,"  180",,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-16","  100","  100",,,,"0.08",,"0.0","0.0",,"72","50",,"   80",,,,,"15.0",,,,"    1","    1","    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-17","  100","  100",,,,"0.16",,"0.0","0.0",,"66","57",,"  110",,,,,"25.1",,,,"    1","    1","    1",,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-18","   30","   20",,,,"0.02",,"0.0","0.0",,"71","50",,"  260",,,,,"28.0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00023042","LUBBOCK INTERNATIONAL AIRPORT, TX US","1970-04-19","    0","   10",,,,"0.00",,"0.0","0.0",,"72","40",,"  270",,,,,"28.0",,,,,,,,,,,,,,,,,,,,,,,
